,company_name,address,category,telephon
337,اعمار العربية,115 ش عثمان بن عفان  روكسى  مصر الجديدة  القاهرة.,,+20224142231
338,اعمار المستقبل,بلوك 6193 ش الجامعة الحديثة  الهضبة الوسطى  المقطم  القاهرة.,,+201009500905
339,اعمار كايرو,  مدينة الواحة  مدينة نصر  القاهرة.,,+201091010709 
340,اعمار كايرو,  مدينة الواحة  مدينة نصر  القاهرة.,, +201033981010
341,اعمار للاستثمار والتسويق العقارى,التجمع الخامس  القاهرة الجديدة  القاهرة.,,+20225787740
342,اعمار للتسويق العقارى,3 ش الاهرام ميدان النافورة  المقطم  القاهرة.,,+20228452704 
343,اعمار للتسويق العقارى,3 ش الاهرام ميدان النافورة  المقطم  القاهرة.,, +201000560010
344,اعمار للعقارات,7 ش محمد محمود ابو المعاطى  حدائق المعادى  المعادى  القاهرة.,,+201146911405 
345,اعمار للعقارات,7 ش محمد محمود ابو المعاطى  حدائق المعادى  المعادى  القاهرة.,, +201200578524 
346,اعمار للعقارات,7 ش محمد محمود ابو المعاطى  حدائق المعادى  المعادى  القاهرة.,, +201097016829
347,اعمار مصر الدولية,210 ش جسر السويس  جسر السويس  القاهرة.,,+201147534666 
348,اعمار مصر الدولية,210 ش جسر السويس  جسر السويس  القاهرة.,, +201147530111
349,اعمار مصر للتنمية,ش الاعلاميين  متفرع من ش صلاح سالم  المقطم  القاهرة.,,+20225032000 
350,اعمار مصر للتنمية,ش الاعلاميين  متفرع من ش صلاح سالم  المقطم  القاهرة.,, +20225032141 
351,اعمار مصر للتنمية,ش الاعلاميين  متفرع من ش صلاح سالم  المقطم  القاهرة.,, 16116 
352,اعمار مصر للتنمية,ش الاعلاميين  متفرع من ش صلاح سالم  المقطم  القاهرة.,, +20225032063 
353,اعمار مصر للتنمية,ش الاعلاميين  متفرع من ش صلاح سالم  المقطم  القاهرة.,, +20225032020
354,اعمار مصر للعقارات,34 ش عباس العقاد  مدينة نصر  القاهرة.,,+201008894338 
355,اعمار مصر للعقارات,34 ش عباس العقاد  مدينة نصر  القاهرة.,, +201008892665
356,اعماركم للاستثمار العقارى,القطعة 50  الحى الثالث - الهضبة الوسطى  المقطم  القاهرة.,,15489 
357,اعماركم للاستثمار العقارى,القطعة 50  الحى الثالث - الهضبة الوسطى  المقطم  القاهرة.,, +20227293330
358,اغابى للاستثمار العقارى,107 ش احمد عصمت  عين شمس الشرقية  القاهرة.,,+201211162614 
359,اغابى للاستثمار العقارى,107 ش احمد عصمت  عين شمس الشرقية  القاهرة.,, +201006287116
360,اغابى للاستثمار والتسويق العقارى,213 ش الحجاز  ميدان الحجاز  مصر الجديدة  القاهرة.,,+20226240808 
361,اغابى للاستثمار والتسويق العقارى,213 ش الحجاز  ميدان الحجاز  مصر الجديدة  القاهرة.,, +201280008000 
